AptinaPartType,Design ID,TSMCPartID,Notch
R014C0TAAA,R014C,TMKP84,L
R014C0TABA,R014C,TMKP84,L
R014C0TAAB,R014C,TMKP84,L
R023B0TACD,R023B,TMIT39,D
R023B0TBAD,R023B,TMIT39,D
R026A0TACA-K1-SWF,AR0261,TMDZ74,D
R032A0TAAA,R032A,TMKI85,D
R042A0TAAA,R042A,TMJK17,D
R042A0TABA,R042A,TMJK17,D
R043A0TAAA,R043A,TMJK17,R
R043A0TAAB,R043A,TMJK17,R
R043B0TAAA,R043B,TMJK17,R
R043B0TAAB,R043B,TMJK17,R
R052A0TAAA,R052A,TMIB01,L
R052A0TAAD,R052A,TMIB01,L
R052A0TAAE,R052A,TMIB01,L
R052A0TABD,R052A,TMIB01,L
R052A0TABE,R052A,TMIB01,L
R052B0TAAA,R052B,TMIB01,L
R052B0TABA,R052B,TMIB01,L
R133B0TAAD-K1-SWF,AR1335,TMFH21,D
R133B0TAAE-K1-SWF,AR1335,TMFH21,D
R133B0TACE-K1-SWF,AR1335HS,TMFH21,D
R133B0TADE-K1-SWF,AR1335,TMFH21,D
R133B0TAGE-K1-SWF,AR1335,TMFH21,D
R133B0TAHE-K1-SWF,AR1335HS,TMFH21,D
R133B0TBCE-K1-SWF,AR1335,TMFH21,D
R133C0TAAA-K1-SWF,AR1335PD,TMFH21,D
R133D0TAAA,R133D,TMGZ80,D
R133D0TAAB,R133D,TMGZ80,D
R133D0TAAD,R133D,TMGZ80,D
R133D0TAAE,R133D,TMGZ80,D
R163A0TAAA,R163A,TMHL99,R
R163A0TAAB,R163A,TMHL99,R
R163A0TAAC,R163A,TMHL99,R
RX38B0TABC,RX38B,TMLI04,D
R082A0TABP,R082A,TMJL76,D
R082A0TAAP,R082A,TMJL76,D
R082A0TBBP,R082A,TMJL76,D
506670,AR0261,TMDZ74,D
506704,AR0261,TMDZ74,D
R032A0TABA,R032A,TMKI85,D
R032A0TBBA,R032A,TMKI85,D
506704,AR0261,TMDZ74,D
S014G0TAAA,S014G,TMLK17,L
S014G0TAAB,S014G,TMLK17,L
